mondo_id,mapping_type,doid_id,mapping_justification,mondo_label,doid_label
MONDO:0002534,skos:exactMatch,DOID:3173,semapv:UnspecifiedMatching,fallopian tube papilloma,fallopian tube serous papilloma
MONDO:0002535,skos:exactMatch,DOID:3177,semapv:UnspecifiedMatching,verrucous papilloma,verrucous papilloma
MONDO:0002536,skos:exactMatch,DOID:3178,semapv:UnspecifiedMatching,skin papilloma,skin papilloma
MONDO:0002537,skos:exactMatch,DOID:3179,semapv:UnspecifiedMatching,inverted papilloma,inverted papilloma
MONDO:0002540,skos:exactMatch,DOID:3183,semapv:UnspecifiedMatching,childhood oligodendroglioma,childhood oligodendroglioma
MONDO:0002541,skos:exactMatch,DOID:3184,semapv:UnspecifiedMatching,spinal cord oligodendroglioma,spinal cord oligodendroglioma
MONDO:0002542,skos:exactMatch,DOID:3185,semapv:UnspecifiedMatching,spinal cord glioma,spinal cord glioma
MONDO:0002543,skos:exactMatch,DOID:3186,semapv:UnspecifiedMatching,adult oligodendroglioma,adult oligodendroglioma
MONDO:0002544,skos:exactMatch,DOID:3187,semapv:UnspecifiedMatching,brain oligodendroglioma,brain oligodendroglioma
MONDO:0002545,skos:exactMatch,DOID:319,semapv:UnspecifiedMatching,spinal cord disorder,spinal cord disease
MONDO:0002546,skos:exactMatch,DOID:3192,semapv:UnspecifiedMatching,schwannoma,neurilemmoma
MONDO:0002546,skos:exactMatch,DOID:955,semapv:UnspecifiedMatching,schwannoma,obsolete benign neurilemmoma
MONDO:0002547,skos:exactMatch,DOID:3193,semapv:UnspecifiedMatching,nerve sheath neoplasm,peripheral nerve sheath neoplasm
MONDO:0002548,skos:exactMatch,DOID:3196,semapv:UnspecifiedMatching,cellular schwannoma,cellular schwannoma
MONDO:0002549,skos:exactMatch,DOID:3197,semapv:UnspecifiedMatching,schwannoma of twelfth cranial nerve,schwannoma of twelfth cranial nerve
MONDO:0002550,skos:exactMatch,DOID:3198,semapv:UnspecifiedMatching,hypoglossal nerve neoplasm,hypoglossal nerve neoplasm
MONDO:0002551,skos:exactMatch,DOID:3199,semapv:UnspecifiedMatching,c-P angle neurinoma,C-P angle neurinoma
